solvent,SMILES,Property_0,Value_0,Property_1,Value_1,Property_2,Value_2,Property_3,Value_3,Property_4,Value_4,Property_5,Value_5,Property_6,Value_6,Property_7,Value_7,Property_8,Value_8,Property_9,Value_9,Property_10,Value_10,Property_11,Value_11
polyhydric_alcohol,OCC(O)CO,beta,0.19151967938067513,alpha,2.2023057561066732,fn,0.648374806640711,SB,-0.4021830469091625,delta,3.7722042951245753,N_mol_cm3,1.2221032118000321,ET30,2.17431363462065,pi_star,0.20795094484541085,SdP,1.240167771144822,n,0.6932699384614162,SP,1.2584694948731512,SA,2.5240008838348498
alkane,C1CCC2CCCCC2C1,delta,,alpha,,pi_star,,SA,-0.5946880464923098,n,,beta,,ET30,,SdP,-1.4931781014551933,fn,,SP,0.28583176662606075,N_mol_cm3,-0.9243171272344598,SB,-1.2343104890987198
carboxylic_acid,CCCCC(=O)O,SA,1.8028339183227502,pi_star,-0.10581393853626937,alpha,2.1565458891026235,SP,-0.374172406113036,ET30,1.9327232307739108,SdP,-0.6740646803503025,N_mol_cm3,-0.07910965949557319,fn,-0.2626379598842222,beta,-0.008156715476178831,n,-0.3722321035482246,delta,1.250863815945411,SB,0.13721972194098514
ester,COC(=O)OC,beta,-0.07471551376179687,SB,0.005658071001924795,delta,-0.1899021721569689,N_mol_cm3,0.6992944688687622,ET30,-0.4973920079197567,SP,-0.7678591056416207,SdP,0.08272489349660717,pi_star,,alpha,-0.5661661976383421,fn,-0.8421565522024395,SA,-0.28902787567923444,n,-1.025073748047325
ketone,O=C1CCCC1,ET30,-0.32685760520441215,SA,,SB,,SP,,SdP,,beta,0.22479907852348416,delta,,fn,0.13006736879232003,n,0.08072716090670731,N_mol_cm3,0.5279293809079569,pi_star,0.7570394907633515,alpha,-0.5661661976383421
ester,C=CC(=O)OC,fn,-0.4054639869804817,pi_star,,SP,,beta,,N_mol_cm3,0.45241256248455136,SB,,n,-0.5350395260035559,delta,,ET30,-0.4121248065620849,SdP,,alpha,,SA,
amine,CN(C)c1ccccc1,fn,1.7401062196956063,pi_star,0.6393776594952213,delta,,SB,,N_mol_cm3,-0.4508847655800319,SP,,SdP,,ET30,-0.738982411766496,n,2.0424760037595595,alpha,-0.5661661976383421,SA,,beta,-0.07471551376179687
amine,CCNCC,alpha,,n,,SdP,,N_mol_cm3,0.06901948433495332,SA,,ET30,-0.8953056142555625,SB,,fn,,beta,,SP,,pi_star,,delta,
amine,CN1CCN(C)CC1,SP,0.1237254785848788,alpha,,n,,delta,,N_mol_cm3,-0.5903004303617038,SdP,-0.8669718266250053,SB,1.3179855391190525,fn,,SA,-0.5946880464923098,ET30,,beta,,pi_star,
amine,CNc1ccccc1,pi_star,0.9923631532996117,delta,,SdP,,N_mol_cm3,-0.06749168743043384,fn,1.8996261980109095,n,2.2471942478370543,SP,,ET30,0.11368960181022969,SB,,alpha,-0.17720732810391845,beta,0.05840208280943903,SA,
carboxylic_acid,CC(C)C(=O)O,SB,-0.49427620256650473,delta,,SA,1.8649211405191561,alpha,,N_mol_cm3,0.37980023707743044,ET30,,n,,SdP,-0.5969018218404217,pi_star,,SP,-0.6983849821953999,fn,,beta,
ester,COC(=O)c1ccccc1,SB,-0.17523919903928326,alpha,-0.5661661976383421,N_mol_cm3,-0.42474432843346843,delta,,SdP,0.44776457029335187,SP,1.2121534125756708,ET30,,pi_star,,fn,,n,,SA,-0.5946880464923098,beta,-0.2411125094758418
monohydric_alcohol,CCCCCCC(C)O,N_mol_cm3,-0.9214126342181749,alpha,,n,,pi_star,,SB,1.7488499459444755,SdP,-0.021148185266694267,fn,,SP,-0.269961220943706,SA,-0.1744053116243312,delta,,beta,,ET30,
halohydrocarbon,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,SP,-4.403671565993842,SA,-0.5946880464923098,SdP,-1.4931781014551933,alpha,,beta,,delta,,fn,,ET30,,N_mol_cm3,-1.307710205384058,pi_star,,SB,-1.2310214478252433,n,
nitrile,CCCC#N,SP,-0.351014364964297,SdP,1.0710030428731598,ET30,0.11368960181022969,SB,-0.15550495139842418,alpha,-0.5661661976383421,N_mol_cm3,0.5685922831359445,fn,-0.6256651530602436,delta,0.0871682101704119,n,-0.7832805463809931,pi_star,0.5609364386498011,SA,-0.5946880464923098,beta,-0.17455371119022375
misc_N_compound,CN1CCCC1=O,SdP,1.3529442566592633,ET30,0.0710560011313938,N_mol_cm3,0.266525009442322,SB,0.5976855002276967,pi_star,1.3845692575267123,delta,0.7244300895233878,fn,0.5863687021128371,SP,1.0732051656832304,SA,-0.4800654824374065,n,0.6191200232837415,beta,1.056784057093709,alpha,-0.5661661976383421
ketone,CC(=O)C(C)(C)C,beta,,SB,,alpha,,SdP,,SA,,ET30,-0.383702406109527,pi_star,,SP,,delta,,fn,-0.4396468394766183,N_mol_cm3,-0.43055331446603784,n,-0.5737264382701722
misc_N_compound,CN(C)C(=O)N(C)C,pi_star,1.0315837637223217,alpha,-0.5661661976383421,N_mol_cm3,-0.33180055191235347,n,0.28544540498420207,ET30,-0.1136896018102307,fn,0.30495638156324967,SB,0.6338649542359384,SP,0.6795184661546455,SdP,1.1125522743784804,delta,-0.3561444015533977,SA,-0.5946880464923098,beta,1.156622254522136
ketone,CC(=O)c1ccccc1,n,1.618531923504588,delta,0.17028932486862633,SdP,0.9048061168518778,SP,1.4900499063605541,beta,0.12496088109505708,fn,1.4043723118459575,pi_star,1.3061280366812922,alpha,-0.47464646363024243,SA,-0.3845466790583205,N_mol_cm3,-0.2620927195215178,ET30,-0.1563232024890666,SB,-0.21799673559447794
ester,CCCOC(C)=O,SP,-0.5710157558773283,N_mol_cm3,-0.22142981729352978,SB,0.3838978174517237,pi_star,,SdP,0.1658233565072483,ET30,-0.5968704095037084,alpha,-0.5661661976383421,delta,-0.60550774564804,n,-0.7994000931587505,fn,-0.6399742541051374,beta,-0.17455371119022375,SA,-0.5946880464923098
misc_N_compound,CN1CCCC1=O,fn,0.5863687021128371,beta,1.056784057093709,ET30,0.0710560011313938,SdP,1.3529442566592633,alpha,-0.5661661976383421,delta,0.7244300895233878,SB,0.5976855002276967,pi_star,1.3845692575267123,SP,1.0732051656832304,SA,-0.4800654824374065,N_mol_cm3,0.266525009442322,n,0.6191200232837415
monohydric_alcohol,CCO,n,-1.1701496690471271,ET30,1.449542423080433,SdP,0.8306110605923768,SP,-0.9994395171290236,pi_star,-0.10581393853626937,SA,1.3156880210894113,N_mol_cm3,2.229962288450869,SB,0.7456923575341398,delta,1.6110553129710061,beta,0.990225258808091,fn,-0.9730583284279536,alpha,1.401508083535801
alkane,CCCCCCCCCCC,delta,,ET30,,pi_star,,n,,N_mol_cm3,-1.3774180377748937,SdP,-1.4931781014551933,SP,-0.47838359128236724,fn,,beta,,SB,-1.1553734985352835,SA,-0.5946880464923098,alpha,
ester,CCOC(=O)OCC,SP,,SB,,fn,-0.6110910686626663,n,-0.7671609996032392,N_mol_cm3,-0.3666544681077716,SdP,,alpha,-0.5661661976383421,beta,-0.17455371119022375,delta,,pi_star,-0.4587994323406599,SA,,ET30,-0.7105600113139381
